chi_tieu,fixed30_30_ma,core23_23_ma,ghi_chu
Tỷ lệ vượt VN-Index chung (2025),39.99%,41.62%,Không phụ thuộc N; so sánh trực tiếp được.
AUC-ROC trung bình theo ngày (2025),0.4966,0.5035,Không phụ thuộc N; so sánh trực tiếp được.
Precision@3 (2025),"41.92%  (10,0% rổ)","44.83%  (13,0% rổ)","CÙNG N=3 nhưng KHÁC tỷ lệ rổ — chỉ tham khảo, không kết luận trực tiếp."
Lift@3 (2025),1.048,1.077,Xem cùng dòng ở trên.
Precision@N — tỷ lệ rổ tương đương ~10% (final_test),"41.92%  (N=3, 10.0% rổ)","45.41%  (N=2, 8.7% rổ)",Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được.
Lift@N — tỷ lệ rổ tương đương ~10% (final_test),1.048,1.091,Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được.
Precision@N — tỷ lệ rổ tương đương ~33-35% (final_test),"40.83%  (N=10, 33.3% rổ)","42.90%  (N=8, 34.8% rổ)",Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được.
Lift@N — tỷ lệ rổ tương đương ~33-35% (final_test),1.021,1.031,Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được.
"Precision@N — tỷ lệ rổ tương đương ~10%, gộp 2021-2025 (combined_oos_descriptive)","47.43%  (N=3, 10.0% rổ)","47.43%  (N=2, 8.7% rổ)","Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được. Giai đoạn 2021-2024 đã tham gia chọn mô hình, không phải kiểm định độc lập."
"Lift@N — tỷ lệ rổ tương đương ~10%, gộp 2021-2025 (combined_oos_descriptive)",1.026,1.029,"Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được. Giai đoạn 2021-2024 đã tham gia chọn mô hình, không phải kiểm định độc lập."
"Lợi suất sau phí 0,4% — tỷ lệ rổ tương đương ~10% (final_test)",44.75%,51.22%,Đã quy đổi N để tỷ lệ rổ gần bằng nhau — so sánh được.
MDD — tỷ lệ rổ tương đương ~10% (final_test),-14.02%,-8.37%,
Sharpe (quy đổi năm) — tỷ lệ rổ tương đương ~10% (final_test),1.623,1.876,
