time,year,evaluation_stage,top_n,available_symbols,selected_symbols,precision_at_n,market_prevalence,lift_at_n
2021-01-04,2021,walk_forward_validation,3,29,MBB|VHM|VRE,0.6666666666666666,0.3448275862068966,1.9333333333333331
2021-01-04,2021,walk_forward_validation,5,29,MBB|VHM|VRE|STB|HPG,0.4,0.3448275862068966,1.16
2021-01-04,2021,walk_forward_validation,10,29,MBB|VHM|VRE|STB|HPG|FPT|HDB|MSN|VIC|MWG,0.4,0.3448275862068966,1.16
2021-01-05,2021,walk_forward_validation,3,29,HPG|ACB|STB,0.6666666666666666,0.4827586206896552,1.3809523809523807
2021-01-05,2021,walk_forward_validation,5,29,HPG|ACB|STB|BID|VIC,0.6,0.4827586206896552,1.2428571428571427
2021-01-05,2021,walk_forward_validation,10,29,HPG|ACB|STB|BID|VIC|BVH|HDB|VHM|MBB|VPB,0.5,0.4827586206896552,1.0357142857142856
2021-01-06,2021,walk_forward_validation,3,29,MBB|BVH|BID,0.0,0.4482758620689655,0.0
2021-01-06,2021,walk_forward_validation,5,29,MBB|BVH|BID|VIC|VRE,0.4,0.4482758620689655,0.8923076923076924
2021-01-06,2021,walk_forward_validation,10,29,MBB|BVH|BID|VIC|VRE|VHM|VPB|VCB|HDB|POW,0.4,0.4482758620689655,0.8923076923076924
2021-01-07,2021,walk_forward_validation,3,29,HPG|VHM|STB,0.6666666666666666,0.41379310344827586,1.611111111111111
2021-01-07,2021,walk_forward_validation,5,29,HPG|VHM|STB|CTG|BVH,0.4,0.41379310344827586,0.9666666666666668
2021-01-07,2021,walk_forward_validation,10,29,HPG|VHM|STB|CTG|BVH|VCB|VIC|POW|BID|VRE,0.3,0.41379310344827586,0.725
2021-01-08,2021,walk_forward_validation,3,29,VIC|HPG|CTG,0.3333333333333333,0.3448275862068966,0.9666666666666666
2021-01-08,2021,walk_forward_validation,5,29,VIC|HPG|CTG|FPT|ACB,0.4,0.3448275862068966,1.16
2021-01-08,2021,walk_forward_validation,10,29,VIC|HPG|CTG|FPT|ACB|BVH|VHM|PLX|BID|MSN,0.3,0.3448275862068966,0.8699999999999999
2021-01-11,2021,walk_forward_validation,3,29,CTG|HPG|FPT,0.6666666666666666,0.3448275862068966,1.9333333333333331
2021-01-11,2021,walk_forward_validation,5,29,CTG|HPG|FPT|VIC|MWG,0.6,0.3448275862068966,1.7399999999999998
2021-01-11,2021,walk_forward_validation,10,29,CTG|HPG|FPT|VIC|MWG|PLX|SHB|ACB|GAS|BVH,0.3,0.3448275862068966,0.8699999999999999
2021-01-12,2021,walk_forward_validation,3,29,VIC|MWG|CTG,0.3333333333333333,0.41379310344827586,0.8055555555555555
2021-01-12,2021,walk_forward_validation,5,29,VIC|MWG|CTG|FPT|GAS,0.4,0.41379310344827586,0.9666666666666668
2021-01-12,2021,walk_forward_validation,10,29,VIC|MWG|CTG|FPT|GAS|HPG|BVH|ACB|VHM|VRE,0.4,0.41379310344827586,0.9666666666666668
2021-01-13,2021,walk_forward_validation,3,29,CTG|MWG|GAS,0.3333333333333333,0.4827586206896552,0.6904761904761904
2021-01-13,2021,walk_forward_validation,5,29,CTG|MWG|GAS|FPT|BVH,0.4,0.4827586206896552,0.8285714285714286
2021-01-13,2021,walk_forward_validation,10,29,CTG|MWG|GAS|FPT|BVH|HPG|VHM|VIC|PLX|VCB,0.4,0.4827586206896552,0.8285714285714286
2021-01-14,2021,walk_forward_validation,3,29,CTG|MWG|FPT,0.6666666666666666,0.4482758620689655,1.487179487179487
2021-01-14,2021,walk_forward_validation,5,29,CTG|MWG|FPT|HPG|ACB,0.4,0.4482758620689655,0.8923076923076924
2021-01-14,2021,walk_forward_validation,10,29,CTG|MWG|FPT|HPG|ACB|VIC|BID|VPB|SHB|PLX,0.5,0.4482758620689655,1.1153846153846154
2021-01-15,2021,walk_forward_validation,3,29,CTG|BID|GAS,0.0,0.41379310344827586,0.0
2021-01-15,2021,walk_forward_validation,5,29,CTG|BID|GAS|MWG|SHB,0.2,0.41379310344827586,0.4833333333333334
2021-01-15,2021,walk_forward_validation,10,29,CTG|BID|GAS|MWG|SHB|TCB|VPB|VRE|HPG|BVH,0.3,0.41379310344827586,0.725
2021-01-18,2021,walk_forward_validation,3,29,VPB|HPG|FPT,0.6666666666666666,0.4482758620689655,1.487179487179487
2021-01-18,2021,walk_forward_validation,5,29,VPB|HPG|FPT|TCB|VJC,0.8,0.4482758620689655,1.7846153846153847
2021-01-18,2021,walk_forward_validation,10,29,VPB|HPG|FPT|TCB|VJC|STB|TPB|CTG|VHM|SHB,0.5,0.4482758620689655,1.1153846153846154
2021-01-19,2021,walk_forward_validation,3,29,CTG|FPT|VPB,0.6666666666666666,0.4482758620689655,1.487179487179487
2021-01-19,2021,walk_forward_validation,5,29,CTG|FPT|VPB|HPG|MWG,0.6,0.4482758620689655,1.3384615384615384
2021-01-19,2021,walk_forward_validation,10,29,CTG|FPT|VPB|HPG|MWG|SHB|TPB|MBB|VHM|TCB,0.6,0.4482758620689655,1.3384615384615384
2021-01-20,2021,walk_forward_validation,3,29,HPG|VPB|FPT,1.0,0.4482758620689655,2.230769230769231
2021-01-20,2021,walk_forward_validation,5,29,HPG|VPB|FPT|VHM|HDB,0.8,0.4482758620689655,1.7846153846153847
2021-01-20,2021,walk_forward_validation,10,29,HPG|VPB|FPT|VHM|HDB|MWG|VJC|CTG|MBB|MSN,0.7,0.4482758620689655,1.5615384615384613
2021-01-21,2021,walk_forward_validation,3,29,VPB|FPT|VHM,1.0,0.4827586206896552,2.071428571428571
2021-01-21,2021,walk_forward_validation,5,29,VPB|FPT|VHM|VJC|HPG,0.8,0.4827586206896552,1.6571428571428573
2021-01-21,2021,walk_forward_validation,10,29,VPB|FPT|VHM|VJC|HPG|MWG|VCB|VIC|MSN|CTG,0.7,0.4827586206896552,1.45
2021-01-22,2021,walk_forward_validation,3,29,VPB|HPG|CTG,0.6666666666666666,0.4827586206896552,1.3809523809523807
2021-01-22,2021,walk_forward_validation,5,29,VPB|HPG|CTG|FPT|MWG,0.8,0.4827586206896552,1.6571428571428573
2021-01-22,2021,walk_forward_validation,10,29,VPB|HPG|CTG|FPT|MWG|VCB|STB|VJC|MSN|BID,0.5,0.4827586206896552,1.0357142857142856
2021-01-25,2021,walk_forward_validation,3,29,HPG|FPT|VJC,1.0,0.5517241379310345,1.8125
2021-01-25,2021,walk_forward_validation,5,29,HPG|FPT|VJC|VPB|STB,0.8,0.5517241379310345,1.4500000000000002
2021-01-25,2021,walk_forward_validation,10,29,HPG|FPT|VJC|VPB|STB|TCB|VHM|MWG|SHB|GVR,0.7,0.5517241379310345,1.26875
2021-01-26,2021,walk_forward_validation,3,29,VPB|HPG|VCB,0.6666666666666666,0.5862068965517241,1.1372549019607843
2021-01-26,2021,walk_forward_validation,5,29,VPB|HPG|VCB|CTG|VJC,0.8,0.5862068965517241,1.3647058823529414
2021-01-26,2021,walk_forward_validation,10,29,VPB|HPG|VCB|CTG|VJC|STB|FPT|HDB|POW|MWG,0.7,0.5862068965517241,1.1941176470588235
2021-01-27,2021,walk_forward_validation,3,29,VPB|HPG|CTG,1.0,0.4827586206896552,2.071428571428571
2021-01-27,2021,walk_forward_validation,5,29,VPB|HPG|CTG|MBB|VCB,0.8,0.4827586206896552,1.6571428571428573
2021-01-27,2021,walk_forward_validation,10,29,VPB|HPG|CTG|MBB|VCB|VHM|VJC|FPT|BID|STB,0.6,0.4827586206896552,1.2428571428571427
2021-01-28,2021,walk_forward_validation,3,29,SHB|VPB|CTG,0.6666666666666666,0.5517241379310345,1.2083333333333333
2021-01-28,2021,walk_forward_validation,5,29,SHB|VPB|CTG|ACB|HPG,0.8,0.5517241379310345,1.4500000000000002
