time,year,evaluation_stage,top_n,available_symbols,selected_symbols,precision_at_n,market_prevalence,lift_at_n
2021-01-04,2021,walk_forward_validation,2,23,VIC|CTG,0.0,0.30434782608695654,0.0
2021-01-04,2021,walk_forward_validation,3,23,VIC|CTG|VHM,0.3333333333333333,0.30434782608695654,1.0952380952380951
2021-01-04,2021,walk_forward_validation,5,23,VIC|CTG|VHM|VRE|MWG,0.6,0.30434782608695654,1.9714285714285713
2021-01-04,2021,walk_forward_validation,8,23,VIC|CTG|VHM|VRE|MWG|FPT|VCB|HDB,0.5,0.30434782608695654,1.6428571428571428
2021-01-04,2021,walk_forward_validation,10,23,VIC|CTG|VHM|VRE|MWG|FPT|VCB|HDB|MSN|PLX,0.4,0.30434782608695654,1.3142857142857143
2021-01-05,2021,walk_forward_validation,2,23,VIC|CTG,1.0,0.5652173913043478,1.7692307692307694
2021-01-05,2021,walk_forward_validation,3,23,VIC|CTG|VCB,1.0,0.5652173913043478,1.7692307692307694
2021-01-05,2021,walk_forward_validation,5,23,VIC|CTG|VCB|MWG|BID,0.8,0.5652173913043478,1.4153846153846155
2021-01-05,2021,walk_forward_validation,8,23,VIC|CTG|VCB|MWG|BID|HPG|GAS|HDB,0.625,0.5652173913043478,1.1057692307692308
2021-01-05,2021,walk_forward_validation,10,23,VIC|CTG|VCB|MWG|BID|HPG|GAS|HDB|MSN|BVH,0.5,0.5652173913043478,0.8846153846153847
2021-01-06,2021,walk_forward_validation,2,23,VIC|BID,0.5,0.5217391304347826,0.9583333333333334
2021-01-06,2021,walk_forward_validation,3,23,VIC|BID|VRE,0.6666666666666666,0.5217391304347826,1.2777777777777777
2021-01-06,2021,walk_forward_validation,5,23,VIC|BID|VRE|BVH|GAS,0.4,0.5217391304347826,0.7666666666666667
2021-01-06,2021,walk_forward_validation,8,23,VIC|BID|VRE|BVH|GAS|MWG|VHM|VCB,0.5,0.5217391304347826,0.9583333333333334
2021-01-06,2021,walk_forward_validation,10,23,VIC|BID|VRE|BVH|GAS|MWG|VHM|VCB|MBB|HPG,0.5,0.5217391304347826,0.9583333333333334
2021-01-07,2021,walk_forward_validation,2,23,VIC|HPG,0.5,0.43478260869565216,1.1500000000000001
2021-01-07,2021,walk_forward_validation,3,23,VIC|HPG|VHM,0.6666666666666666,0.43478260869565216,1.5333333333333332
2021-01-07,2021,walk_forward_validation,5,23,VIC|HPG|VHM|FPT|MWG,0.8,0.43478260869565216,1.84
2021-01-07,2021,walk_forward_validation,8,23,VIC|HPG|VHM|FPT|MWG|GAS|BID|STB,0.5,0.43478260869565216,1.1500000000000001
2021-01-07,2021,walk_forward_validation,10,23,VIC|HPG|VHM|FPT|MWG|GAS|BID|STB|BVH|CTG,0.4,0.43478260869565216,0.92
2021-01-08,2021,walk_forward_validation,2,23,VIC|PLX,0.0,0.34782608695652173,0.0
2021-01-08,2021,walk_forward_validation,3,23,VIC|PLX|FPT,0.3333333333333333,0.34782608695652173,0.9583333333333333
