evaluation_stage,year,top_n,observations,mean_precision_at_n,median_precision_at_n,mean_market_prevalence,mean_lift_at_n,share_days_lift_above_1,aggregate_lift_at_n
final_test,2025,3,229,0.4192139737991266,0.3333333333333333,0.39985443959243083,1.046232403114526,0.5152838427947598,1.0484164543137968
final_test,2025,5,229,0.422707423580786,0.4,0.39985443959243083,1.0486077682732948,0.5545851528384279,1.0571532580997451
final_test,2025,10,229,0.40829694323144106,0.4,0.39985443959243083,1.0303483832358196,0.5109170305676856,1.0211139424827085
walk_forward_validation,2021,3,230,0.5101449275362319,0.6666666666666666,0.4560669665167416,1.1294925275775658,0.5608695652173913,1.1185746063401967
walk_forward_validation,2021,5,230,0.5078260869565218,0.4,0.4560669665167416,1.1240699504388763,0.5695652173913044,1.1134901763113776
walk_forward_validation,2021,10,230,0.5056521739130435,0.5,0.4560669665167416,1.1087950720421949,0.6086956521739131,1.1087235231593597
walk_forward_validation,2022,3,229,0.4512372634643377,0.3333333333333333,0.5181950509461427,0.8263244255270077,0.388646288209607,0.8707865168539325
walk_forward_validation,2022,5,229,0.4847161572052402,0.4,0.5181950509461427,0.8928898967767948,0.40611353711790393,0.9353932584269662
walk_forward_validation,2022,10,229,0.4868995633187773,0.5,0.5181950509461427,0.912834081924293,0.31877729257641924,0.9396067415730337
walk_forward_validation,2023,3,229,0.5211062590975255,0.3333333333333333,0.47103347889374086,1.1247422543642478,0.4978165938864629,1.1063040791100125
walk_forward_validation,2023,5,229,0.5213973799126638,0.6,0.47103347889374086,1.1214494361164498,0.5676855895196506,1.1069221260815822
walk_forward_validation,2023,10,229,0.5209606986899563,0.5,0.47103347889374086,1.1115802777467776,0.5982532751091703,1.1059950556242275
walk_forward_validation,2024,3,230,0.46956521739130436,0.3333333333333333,0.4666666666666666,0.9794312422071877,0.4434782608695652,1.0062111801242237
walk_forward_validation,2024,5,230,0.46956521739130436,0.4,0.4666666666666666,0.9904612910757749,0.43043478260869567,1.0062111801242237
walk_forward_validation,2024,10,230,0.4852173913043478,0.5,0.4666666666666666,1.0331592692765126,0.48695652173913045,1.0397515527950312
combined_oos_descriptive,2021-2025_combined,3,1147,0.4742807323452485,0.3333333333333333,0.4623615829400034,1.0213024908969637,0.4812554489973845,1.0257788489464352
combined_oos_descriptive,2021-2025_combined,5,1147,0.4812554489973845,0.4,0.4623615829400034,1.035533628348306,0.5056669572798606,1.040863832019177
combined_oos_descriptive,2021-2025_combined,10,1147,0.4814298169136879,0.5,0.4623615829400034,1.039398575962494,0.5047951176983435,1.0412409565959957
