fold,validation_year,model,train_rows,validation_rows,accuracy,precision,recall,f1,auc_pooled,auc_daily_mean,auc_daily_days,precision_at_3,market_prevalence,aggregate_lift_at_3,mean_top3_future_excess_return
1,2021,logistic_regression,4963,6785,0.520412675018423,0.4799901185770751,0.6283958602846055,0.5442577030812324,0.5330305683035875,0.5402551703424129,230,0.5101449275362319,0.4557111274871039,1.119448037947391,0.02452370008662903
1,2021,random_forest,4963,6785,0.5124539425202653,0.46952595936794583,0.538163001293661,0.5015069318866787,0.5234601299826356,0.5279835933775647,230,0.5028985507246376,0.4557111274871039,1.1035467874083655,0.014278924616996187
1,2021,xgboost,4963,6785,0.5046425939572586,0.4589813967673071,0.4867399741267788,0.4724533040339036,0.5160648410387261,0.5188219483169846,230,0.4579710144927536,0.4557111274871039,1.0049590340664079,0.006001949598785157
2,2022,logistic_regression,12328,6870,0.5002911208151383,0.5172320217096337,0.5353932584269663,0.5261559696342305,0.5083370956244272,0.4706512682639416,229,0.4512372634643377,0.5181950509461426,0.8707865168539326,0.001992517725861029
2,2022,random_forest,12328,6870,0.49810771470160115,0.5176656151419559,0.4609550561797753,0.487667161961367,0.4994686683186802,0.4876501354430291,229,0.5211062590975255,0.5181950509461426,1.00561797752809,0.018529216726744395
2,2022,xgboost,12328,6870,0.5026200873362445,0.5246296934205994,0.42780898876404494,0.4712981587498066,0.5062187701551308,0.49673515725020845,229,0.5036390101892285,0.5181950509461426,0.9719101123595506,0.014602716181209606
3,2023,logistic_regression,19798,6870,0.5253275109170306,0.4957526333673123,0.45086526576019775,0.47224469978961,0.5375610648775845,0.5463121329194037,229,0.5211062590975255,0.4710334788937409,1.1063040791100125,0.004043226208173857
3,2023,random_forest,19798,6870,0.4912663755458515,0.45508151231356225,0.4054388133498146,0.4288282399084818,0.48283104119655523,0.48271978695622864,229,0.44250363901018924,0.4710334788937409,0.9394313967861557,-0.007786315482586822
3,2023,xgboost,19798,6870,0.48034934497816595,0.4387380777696258,0.3695920889987639,0.40120764844012075,0.4637081933912173,0.46908596797249846,229,0.4148471615720524,0.4710334788937409,0.880716934487021,-0.01249322007206896
4,2024,logistic_regression,27268,6900,0.5228985507246376,0.47796817625459,0.24254658385093167,0.32179645653069633,0.5147172900351067,0.5130105447503146,230,0.46956521739130436,0.4666666666666667,1.0062111801242235,0.004549565733131753
4,2024,random_forest,27268,6900,0.5072463768115942,0.4645669291338583,0.36645962732919257,0.4097222222222222,0.5030493856332703,0.5062455994073978,230,0.4681159420289855,0.4666666666666667,1.0031055900621118,0.0006519338903716925
4,2024,xgboost,27268,6900,0.5227536231884058,0.48563557654466744,0.3832298136645963,0.4283978475959035,0.5175546853902242,0.5192581690898255,230,0.49420289855072463,0.4666666666666667,1.0590062111801242,0.0017667569168428657
