fold,validation_year,model,train_rows,validation_rows,accuracy,precision,recall,f1,auc_pooled,auc_daily_mean,auc_daily_days,precision_at_3,market_prevalence,aggregate_lift_at_3,mean_top3_future_excess_return
1,2021,logistic_regression,3956,5290,0.5293005671077504,0.4588348579682234,0.41095299698145754,0.4335759781619654,0.5266752097935643,0.5218419325398731,230,0.4652173913043478,0.4383742911153119,1.061233290211298,0.013564523695499904
1,2021,random_forest,3956,5290,0.5185255198487713,0.44878706199460916,0.4307891332470893,0.4396039603960396,0.5100350535266234,0.5150241631060045,230,0.4420289855072464,0.4383742911153119,1.00833692683628,-0.0013948667988329642
1,2021,xgboost,3956,5290,0.5185255198487713,0.4446601941747573,0.394997843898232,0.4183603562457182,0.5053993258680396,0.505193264375355,230,0.41884057971014493,0.4383742911153119,0.955440563461262,-0.0058298098132005
2,2022,logistic_regression,9706,5267,0.508828555154737,0.5385996409335727,0.43494019572308806,0.481251253258472,0.5208001304126901,0.47561671141764295,229,0.4963609898107715,0.5238276058477311,0.9475655430711611,0.011379955276081783
2,2022,random_forest,9706,5267,0.5086386937535599,0.5429864253393665,0.39144617615077926,0.45492839090143217,0.5109899138270402,0.49781780897016403,229,0.5458515283842795,0.5238276058477311,1.0420442189198986,0.016692704730163637
2,2022,xgboost,9706,5267,0.5069299411429656,0.5413687436159347,0.3841971728887278,0.449438202247191,0.5131508133740064,0.5043262931985267,229,0.5254730713245997,0.5238276058477311,1.003141234746889,0.014886369582991426
3,2023,logistic_regression,15433,5267,0.5257262198595025,0.4802668148971651,0.35599505562422745,0.4088973024136299,0.5378061943975347,0.5663944412467403,229,0.5400291120815138,0.4607936206569204,1.1719544018678754,0.007549920480988619
3,2023,random_forest,15433,5267,0.5021834061135371,0.4510787757150025,0.37041615162752367,0.4067873303167421,0.4972149439695445,0.508199710855118,229,0.4366812227074236,0.4607936206569204,0.9476720230737538,-0.008242321798743903
3,2023,xgboost,15433,5267,0.4955382570723372,0.43966421825813223,0.34528224145035025,0.3867989845372721,0.4935213153664467,0.49603418387132747,229,0.4585152838427948,0.4607936206569204,0.9950556242274414,-0.004910974075867785
4,2024,logistic_regression,21160,5290,0.5189035916824196,0.4529616724738676,0.15827922077922077,0.23458646616541354,0.5140376696905359,0.5168703398051224,230,0.45217391304347826,0.4657844990548204,0.9707792207792209,0.002739222712011692
4,2024,random_forest,21160,5290,0.5241965973534972,0.48425430778371953,0.330762987012987,0.39305522064142756,0.524993594957767,0.5274367570834962,230,0.5144927536231884,0.4657844990548204,1.1045725108225108,0.011535179452964782
4,2024,xgboost,21160,5290,0.5408317580340265,0.5108628181253879,0.3340097402597403,0.40392638036809814,0.5397678445051057,0.5397104767213462,230,0.5304347826086957,0.4657844990548204,1.1387987012987015,0.009892830824152913
