time,symbol,open,high,low,close,volume
2020-01-02,ACB,5.67,5.72,5.64,5.72,1163109
2020-01-03,ACB,5.72,5.77,5.69,5.72,1055528
2020-01-06,ACB,5.72,5.72,5.59,5.59,1286035
2020-01-07,ACB,5.59,5.64,5.59,5.59,1050934
2020-01-08,ACB,5.59,5.59,5.47,5.5,2304937
2020-01-09,ACB,5.52,5.62,5.52,5.57,1422248
2020-01-10,ACB,5.59,5.74,5.59,5.64,2371501
2020-01-13,ACB,5.69,5.69,5.64,5.69,1523181
2020-01-14,ACB,5.69,5.84,5.69,5.84,2851982
2020-01-15,ACB,5.84,5.84,5.77,5.79,1158657
2020-01-16,ACB,5.79,5.97,5.79,5.94,2819687
2020-01-17,ACB,5.97,5.99,5.89,5.92,2706194
2020-01-20,ACB,5.92,6.14,5.92,6.04,4443379
2020-01-21,ACB,6.09,6.14,6.04,6.09,1775816
2020-01-22,ACB,6.12,6.12,6.04,6.09,1574379
2020-01-30,ACB,6.02,6.04,5.77,5.87,4250097
2020-01-31,ACB,5.84,5.92,5.69,5.72,4243264
2020-02-03,ACB,5.54,5.72,5.4,5.62,4430186
2020-02-04,ACB,5.69,5.77,5.59,5.77,2397062
2020-02-05,ACB,5.82,5.84,5.69,5.72,2790275
2020-02-06,ACB,5.74,5.97,5.72,5.97,2980981
2020-02-07,ACB,5.97,5.99,5.87,5.92,2007251
2020-02-10,ACB,5.92,5.94,5.82,5.87,1271190
2020-02-11,ACB,5.87,5.92,5.84,5.89,1862090
2020-02-12,ACB,5.92,6.39,5.92,6.37,10516207
2020-02-13,ACB,6.37,6.39,6.24,6.34,3773365
2020-02-14,ACB,6.34,6.66,6.34,6.56,8018099
2020-02-17,ACB,6.54,6.64,6.46,6.56,3764464
2020-02-18,ACB,6.56,6.74,6.54,6.61,6293208
2020-02-19,ACB,6.59,6.64,6.44,6.54,5091969
2020-02-20,ACB,6.54,6.71,6.49,6.56,5578717
2020-02-21,ACB,6.19,6.61,6.19,6.39,6333926
2020-02-24,ACB,6.34,6.37,5.92,5.97,10321149
2020-02-25,ACB,5.84,6.24,5.74,6.24,8279866
2020-02-26,ACB,6.22,6.24,6.04,6.12,4519324
2020-02-27,ACB,6.02,6.34,6.02,6.34,5309790
2020-02-28,ACB,5.72,6.29,5.72,6.27,5959642
2020-03-02,ACB,6.07,6.34,6.07,6.27,3629494
2020-03-03,ACB,6.37,6.44,6.29,6.37,6364207
2020-03-04,ACB,6.37,6.42,6.29,6.42,5047583
2020-03-05,ACB,6.46,6.56,6.32,6.37,5965022
2020-03-06,ACB,6.34,6.34,6.24,6.29,3959935
2020-03-09,ACB,6.14,6.14,5.72,5.79,16776046
2020-03-10,ACB,5.72,6.17,5.69,6.02,7582331
2020-03-11,ACB,6.04,6.07,5.72,5.82,7841324
2020-03-12,ACB,5.72,5.72,5.35,5.5,11082125
2020-03-13,ACB,5.35,5.59,5.1,5.47,9020091
2020-03-16,ACB,5.47,5.54,5.15,5.2,4614344
2020-03-17,ACB,5.17,5.32,5.0,5.25,6568088
2020-03-18,ACB,5.3,5.37,5.2,5.27,4944595
2020-03-19,ACB,5.22,5.3,5.15,5.25,4083896
2020-03-20,ACB,5.77,5.77,5.22,5.32,3341564
2020-03-23,ACB,5.27,5.32,4.8,4.8,10024177
2020-03-24,ACB,4.75,4.95,4.75,4.87,4315784
2020-03-25,ACB,4.97,5.17,4.97,5.1,4115341
2020-03-26,ACB,5.12,5.12,4.9,4.9,3631529
2020-03-27,ACB,4.9,5.0,4.85,4.9,3980631
2020-03-30,ACB,4.85,4.85,4.45,4.53,5925098
2020-03-31,ACB,4.53,4.67,4.33,4.43,4532153
2020-04-01,ACB,4.0,4.72,4.0,4.62,2761168
2020-04-03,ACB,4.5,4.82,4.5,4.75,3574343
2020-04-06,ACB,4.82,5.17,4.75,5.12,5757259
2020-04-07,ACB,5.22,5.22,4.97,5.05,4467621
2020-04-08,ACB,5.54,5.54,4.9,5.02,2331536
2020-04-09,ACB,5.52,5.52,4.97,4.97,4068966
2020-04-10,ACB,4.72,5.02,4.72,4.92,2517477
2020-04-13,ACB,4.45,5.07,4.45,4.97,1926793
2020-04-14,ACB,4.97,5.02,4.9,4.97,3167293
2020-04-15,ACB,4.97,5.15,4.97,5.02,3686239
2020-04-16,ACB,5.02,5.07,5.0,5.07,1895213
2020-04-17,ACB,5.1,5.25,5.1,5.22,4809341
2020-04-20,ACB,5.27,5.27,5.12,5.15,3064104
2020-04-21,ACB,5.12,5.12,4.9,4.92,6015799
2020-04-22,ACB,4.92,5.07,4.82,5.07,2637424
2020-04-23,ACB,5.1,5.17,5.05,5.05,2076603
2020-04-24,ACB,5.02,5.07,4.97,5.05,1264729
2020-04-27,ACB,5.05,5.12,4.97,5.0,1806851
2020-04-28,ACB,5.0,5.07,4.97,5.05,1246915
2020-04-29,ACB,5.05,5.1,5.02,5.1,1196049
2020-05-04,ACB,5.1,5.1,5.0,5.05,1193939
2020-05-05,ACB,5.02,5.07,5.02,5.05,1126770
2020-05-06,ACB,5.07,5.27,5.02,5.17,4453036
2020-05-07,ACB,5.2,5.27,5.17,5.27,2973997
2020-05-08,ACB,5.3,5.45,5.22,5.32,5995918
2020-05-11,ACB,5.45,5.45,5.32,5.4,4108808
2020-05-12,ACB,5.4,5.47,5.32,5.42,4057939
2020-05-13,ACB,5.47,5.47,5.35,5.4,3453900
2020-05-14,ACB,5.4,5.42,5.32,5.32,3827622
2020-05-15,ACB,5.35,5.52,5.32,5.4,6937907
2020-05-18,ACB,5.45,5.45,5.32,5.42,2771622
2020-05-19,ACB,5.47,5.59,5.47,5.52,5561531
2020-05-20,ACB,5.5,5.57,5.47,5.52,3116422
2020-05-21,ACB,5.52,5.64,5.45,5.57,4622625
2020-05-22,ACB,5.59,5.64,5.54,5.57,4841440
2020-05-25,ACB,5.59,5.64,5.54,5.62,3519682
2020-05-26,ACB,5.59,5.84,5.59,5.79,5267006
2020-05-27,ACB,5.84,5.89,5.67,5.67,6389497
2020-05-28,ACB,5.67,5.77,5.67,5.69,3568932
2020-05-29,ACB,5.69,5.72,5.64,5.69,2394358
2020-06-01,ACB,5.72,6.24,5.69,6.24,13859688
2020-06-02,ACB,6.34,6.59,6.17,6.17,10935462
2020-06-03,ACB,6.17,6.34,6.17,6.34,3758964
2020-06-04,ACB,6.37,6.39,6.27,6.29,5159832
2020-06-05,ACB,6.32,6.32,6.19,6.27,4025847
2020-06-08,ACB,6.27,6.46,6.27,6.32,6087882
2020-06-09,ACB,6.34,6.37,6.27,6.34,3531851
2020-06-10,ACB,6.34,6.44,6.27,6.37,6494275
2020-06-11,ACB,6.37,6.42,6.07,6.09,9172138
2020-06-12,ACB,5.97,6.09,5.82,6.09,6648375
2020-06-15,ACB,6.14,6.14,5.77,5.79,5885937
2020-06-16,ACB,5.87,6.02,5.87,5.92,4198360
2020-06-17,ACB,6.04,6.04,5.84,5.89,1599340
2020-06-18,ACB,5.89,5.94,5.82,5.92,1301526
2020-06-19,ACB,5.92,6.09,5.92,6.07,2334941
2020-06-22,ACB,6.07,6.14,5.97,5.99,2256643
2020-06-23,ACB,6.02,6.07,5.94,5.97,3282364
2020-06-24,ACB,5.97,6.04,5.89,5.92,3013466
2020-06-25,ACB,5.89,5.92,5.84,5.89,2500893
2020-06-26,ACB,5.92,5.97,5.87,5.87,1400341
2020-06-29,ACB,5.87,5.87,5.64,5.69,4353272
2020-06-30,ACB,5.72,5.79,5.57,5.67,3585625
2020-07-01,ACB,5.67,5.79,5.67,5.77,1676001
2020-07-02,ACB,5.77,5.82,5.72,5.74,1070089
2020-07-03,ACB,5.77,5.79,5.72,5.72,1271360
2020-07-06,ACB,5.72,5.89,5.72,5.87,3204367
2020-07-07,ACB,5.89,5.97,5.89,5.89,2389942
2020-07-08,ACB,5.87,5.97,5.87,5.94,1647694
2020-07-09,ACB,5.94,6.04,5.94,6.04,2248695
2020-07-10,ACB,6.04,6.07,5.92,5.97,2284971
2020-07-13,ACB,5.99,6.02,5.92,5.94,1840084
2020-07-14,ACB,5.94,5.99,5.89,5.97,1406915
2020-07-15,ACB,6.02,6.02,5.97,5.97,1570073
2020-07-16,ACB,6.02,6.02,5.94,5.97,903322
2020-07-17,ACB,5.99,6.22,5.97,6.17,7890281
2020-07-20,ACB,6.17,6.19,6.09,6.09,2622350
2020-07-21,ACB,6.09,6.12,6.02,6.12,2194410
2020-07-22,ACB,6.12,6.17,6.02,6.07,1726317
2020-07-23,ACB,6.07,6.07,5.97,6.02,1955757
2020-07-24,ACB,6.04,6.04,5.59,5.77,5532575
2020-07-27,ACB,5.2,5.69,5.2,5.42,6240477
2020-07-28,ACB,5.42,5.69,5.35,5.69,2598740
2020-07-29,ACB,5.64,5.67,5.37,5.52,4929532
2020-07-30,ACB,5.4,5.62,5.4,5.62,1914488
2020-07-31,ACB,5.64,5.64,5.5,5.59,2220749
2020-08-03,ACB,5.5,5.77,5.5,5.77,3044620
2020-08-04,ACB,5.79,5.94,5.79,5.89,2907562
2020-08-05,ACB,5.94,6.07,5.89,5.97,5472736
2020-08-06,ACB,5.99,5.99,5.89,5.92,1874899
2020-08-07,ACB,5.94,5.99,5.84,5.89,2150978
2020-08-10,ACB,5.89,5.99,5.89,5.92,2576760
2020-08-11,ACB,5.97,6.32,5.94,6.32,15333430
2020-08-12,ACB,6.42,6.44,6.27,6.32,6091725
2020-08-13,ACB,6.32,6.37,6.29,6.34,3803166
2020-08-14,ACB,6.34,6.34,6.22,6.29,6682494
2020-08-17,ACB,6.29,6.42,6.27,6.42,6222301
2020-08-18,ACB,6.46,6.49,6.37,6.37,4710796
2020-08-19,ACB,6.39,6.42,6.32,6.37,9263369
2020-08-20,ACB,6.66,6.85,6.47,6.72,19475136
2020-08-21,ACB,6.72,6.85,6.66,6.85,7392791
2020-08-24,ACB,6.85,6.95,6.79,6.79,6821518
2020-08-25,ACB,6.79,6.85,6.72,6.82,7801079
2020-08-26,ACB,6.82,6.89,6.76,6.85,6018699
2020-08-27,ACB,6.85,6.95,6.82,6.95,4863627
2020-08-28,ACB,6.98,7.05,6.89,6.92,6947593
2020-08-31,ACB,6.92,6.95,6.82,6.85,7008237
2020-09-01,ACB,6.85,6.89,6.79,6.82,7822064
2020-09-03,ACB,6.82,6.92,6.79,6.85,6080561
2020-09-04,ACB,6.79,6.85,6.72,6.82,4665691
2020-09-07,ACB,6.82,6.85,6.72,6.72,6067374
2020-09-08,ACB,6.72,6.76,6.66,6.66,12273484
2020-09-09,ACB,6.66,6.76,6.56,6.76,5021412
2020-09-10,ACB,6.76,6.85,6.76,6.76,3249267
2020-09-11,ACB,6.76,6.79,6.69,6.72,2350091
2020-09-14,ACB,6.72,6.89,6.72,6.85,5275848
2020-09-15,ACB,6.85,6.92,6.82,6.89,4632880
2020-09-16,ACB,6.85,6.89,6.82,6.85,2194115
2020-09-17,ACB,6.89,7.05,6.82,6.95,12323866
2020-09-18,ACB,6.95,7.01,6.92,7.01,3280690
2020-09-21,ACB,7.05,7.21,6.98,7.11,7244851
2020-09-22,ACB,7.11,7.21,7.01,7.21,8818518
2020-09-23,ACB,7.21,7.37,7.21,7.27,6511427
2020-09-24,ACB,7.24,7.31,7.11,7.18,5599785
2020-09-25,ACB,7.18,7.24,7.08,7.18,6416344
2020-09-28,ACB,7.18,7.37,7.18,7.31,8207740
2020-09-29,ACB,7.34,7.37,7.21,7.24,5923046
2020-09-30,ACB,7.24,7.27,7.18,7.27,3624221
2020-10-01,ACB,7.21,7.37,7.18,7.27,6510267
2020-10-02,ACB,7.24,7.6,7.24,7.44,23518516
2020-10-05,ACB,7.44,7.63,7.4,7.63,12875000
2020-10-06,ACB,7.63,7.82,7.63,7.76,10965000
2020-10-07,ACB,7.76,7.79,7.53,7.56,17681800
2020-10-08,ACB,7.5,7.66,7.44,7.5,13890500
2020-10-09,ACB,7.5,7.69,7.47,7.6,8717300
2020-10-12,ACB,7.66,7.69,7.53,7.53,8642000
2020-10-13,ACB,7.56,7.56,7.47,7.56,5319900
2020-10-14,ACB,7.6,7.79,7.56,7.76,20284500
2020-10-15,ACB,7.76,8.02,7.73,7.92,16334800
2020-10-16,ACB,7.92,8.08,7.82,7.98,8711000
2020-10-19,ACB,8.08,8.31,8.05,8.18,14148600
2020-10-20,ACB,8.21,8.28,8.08,8.18,11356300
2020-10-21,ACB,8.21,8.28,8.15,8.15,8864800
2020-10-22,ACB,8.18,8.4,8.08,8.28,9439500
2020-10-23,ACB,8.34,8.37,8.24,8.28,8023000
2020-10-26,ACB,8.28,8.34,8.02,8.02,11660700
2020-10-27,ACB,7.98,8.05,7.89,7.89,11720500
2020-10-28,ACB,7.89,7.92,7.66,7.69,14911600
2020-10-29,ACB,7.63,7.86,7.5,7.73,8510000
2020-10-30,ACB,7.79,7.86,7.69,7.79,4392700
2020-11-02,ACB,7.82,7.92,7.76,7.92,3775100
2020-11-03,ACB,7.92,8.15,7.92,8.08,7704400
2020-11-04,ACB,8.11,8.31,8.11,8.24,12599900
2020-11-05,ACB,8.24,8.31,8.05,8.05,8546200
2020-11-06,ACB,8.05,8.11,8.02,8.11,3669400
2020-11-09,ACB,8.11,8.24,8.11,8.21,5897700
2020-11-10,ACB,8.31,8.4,8.18,8.18,8852600
2020-11-11,ACB,8.18,8.24,8.15,8.21,4525100
2020-11-12,ACB,8.21,8.53,8.21,8.53,18943100
2020-11-13,ACB,8.53,8.63,8.5,8.57,6222800
2020-11-16,ACB,8.57,8.66,8.47,8.47,8979100
2020-11-17,ACB,8.47,8.79,8.47,8.79,16771100
2020-11-18,ACB,8.79,8.95,8.7,8.79,7919600
2020-11-19,ACB,8.83,8.89,8.73,8.79,6411600
2020-11-20,ACB,8.83,8.86,8.66,8.83,9590800
2020-11-23,ACB,8.89,8.92,8.73,8.83,10891200
