review_period,effective_date,added,removed,number_added,number_removed,main_basket_changed,source_url
2020-01,2020-02-03,PLX|POW,DPM|GMD,2,2,1,https://vietstock.vn/2020/01/dao-danh-muc-vn30-ky-thang-12020-hai-co-phieu-ho-dau-khi-duoc-them-vao-830-725834.htm
2020-07,2020-08-03,KDH|TCH,BVH|CTD,2,2,1,https://vietstock.vn/2020/07/dao-danh-muc-vn30-ky-thang-72020-them-tch-va-kdh-830-777625.htm
2021-01,2021-02-01,BVH|PDR|TPB,EIB|ROS|SAB,3,3,1,https://vietstock.vn/2021/01/dao-danh-muc-vn30-khong-con-co-phieu-8216gia-tra-da8217-830-820048.htm
2021-07,2021-08-02,ACB|GVR|SAB,REE|SBT|TCH,3,3,1,https://pvpower.vn/vi/post/hose-cong-bo-danh-muc-co-phieu-thanh-phan-cua-ro-vn30-trong-ky-co-cau-thang-7-2021-4468.htm
2022-01,2022-02-07,,,0,0,0,https://funan.com.vn/vi/dao-vn30-ky-thang-12022-giu-nguyen-danh-muc.925174
2022-07,2022-08-01,VIB,PNJ,1,1,1,https://thitruongtaichinhtiente.vn/ket-qua-thay-doi-danh-muc-hose-index-ky-quy-iii-2022-vnfin-lead-them-moi-shb-va-hcm-vn30-them-moi-vib-va-loai-pnj-41519.html
2023-01,2023-02-06,BCM,KDH,1,1,1,https://vietstock.vn/2023/01/dao-danh-muc-vn30-thang-12023-them-bcm-loai-kdh-3358-1031504.htm
2023-07,2023-08-07,SHB|SSB,NVL|PDR,2,2,1,https://vietstock.vn/2023/07/dao-danh-muc-vn30-them-2-ma-ngan-hang-shb-ssb-830-1088399.htm
2024-01,2024-02-05,,,0,0,0,https://vietstock.vn/2024/01/dao-danh-muc-vn30-ky-thang-12024-khong-co-thay-doi-trong-ro-chi-so-chinh-3358-1145998.htm
2024-07,2024-08-05,,,0,0,0,https://vn.investing.com/news/stock-market-news/dao-danh-muc-vn30-ky-thang-72024-khong-co-thay-doi-trong-ro-chi-so-chinh-nvl-vao-danh-sach-du-phong-2187443
2025-01,2025-02-03,LPB,POW,1,1,1,https://vietstock.vn/2025/01/dao-danh-muc-vn30-ky-thang-12025-lpb-the-cho-pow-3358-1263849.htm
2025-07,2025-08-04,DGC,BVH,1,1,1,https://vietstock.vn/2025/07/dao-danh-muc-vn30-ky-thang-72025-them-dgc-loai-bvh-3358-1329029.htm
