symbol,in_vn30_effective_2020_02_03,in_fixed_universe_2025_01_02,membership_group
ACB,False,True,Chỉ ở mốc 2025
BCM,False,True,Chỉ ở mốc 2025
BID,True,True,Có mặt ở cả hai mốc
BVH,True,True,Có mặt ở cả hai mốc
CTD,True,False,Chỉ ở mốc 2020
CTG,True,True,Có mặt ở cả hai mốc
EIB,True,False,Chỉ ở mốc 2020
FPT,True,True,Có mặt ở cả hai mốc
GAS,True,True,Có mặt ở cả hai mốc
GVR,False,True,Chỉ ở mốc 2025
HDB,True,True,Có mặt ở cả hai mốc
HPG,True,True,Có mặt ở cả hai mốc
MBB,True,True,Có mặt ở cả hai mốc
MSN,True,True,Có mặt ở cả hai mốc
MWG,True,True,Có mặt ở cả hai mốc
NVL,True,False,Chỉ ở mốc 2020
PLX,True,True,Có mặt ở cả hai mốc
PNJ,True,False,Chỉ ở mốc 2020
POW,True,True,Có mặt ở cả hai mốc
REE,True,False,Chỉ ở mốc 2020
ROS,True,False,Chỉ ở mốc 2020
SAB,True,True,Có mặt ở cả hai mốc
SBT,True,False,Chỉ ở mốc 2020
SHB,False,True,Chỉ ở mốc 2025
SSB,False,True,Chỉ ở mốc 2025
SSI,True,True,Có mặt ở cả hai mốc
STB,True,True,Có mặt ở cả hai mốc
TCB,True,True,Có mặt ở cả hai mốc
TPB,False,True,Chỉ ở mốc 2025
VCB,True,True,Có mặt ở cả hai mốc
VHM,True,True,Có mặt ở cả hai mốc
VIB,False,True,Chỉ ở mốc 2025
VIC,True,True,Có mặt ở cả hai mốc
VJC,True,True,Có mặt ở cả hai mốc
VNM,True,True,Có mặt ở cả hai mốc
VPB,True,True,Có mặt ở cả hai mốc
VRE,True,True,Có mặt ở cả hai mốc
