symbol,universe_reference_date,design,data_source
ACB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
BCM,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
BID,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
BVH,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
CTG,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
FPT,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
GAS,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
GVR,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
HDB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
HPG,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
MBB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
MSN,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
MWG,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
PLX,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
POW,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
SAB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
SHB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
SSB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
SSI,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
STB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
TCB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
TPB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VCB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VHM,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VIB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VIC,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VJC,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VNM,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VPB,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
VRE,2025-01-02,fixed_universe_at_start_of_test_2025,VCI
