time,symbol,open,high,low,close,volume
2020-01-02,VNINDEX,960.26,966.67,959.67,966.67,131579530
2020-01-03,VNINDEX,968.72,970.88,965.14,965.14,149095370
2020-01-06,VNINDEX,962.79,963.2,955.59,955.79,141000200
2020-01-07,VNINDEX,955.79,959.46,953.19,958.88,130272030
2020-01-08,VNINDEX,954.13,955.84,945.28,948.98,179374340
2020-01-09,VNINDEX,960.01,960.73,952.16,960.15,132370320
2020-01-10,VNINDEX,961.17,969.71,961.17,968.54,163058830
2020-01-13,VNINDEX,966.89,968.63,964.79,965.84,117952020
2020-01-14,VNINDEX,966.26,968.85,965.76,967.0,127784380
2020-01-15,VNINDEX,967.69,967.69,964.84,967.56,112455450
2020-01-16,VNINDEX,967.2,974.7,967.17,974.31,146756870
2020-01-17,VNINDEX,976.28,980.02,973.79,978.96,117216880
2020-01-20,VNINDEX,978.23,979.85,975.93,978.63,102398830
2020-01-21,VNINDEX,978.82,986.37,978.82,986.37,128887950
2020-01-22,VNINDEX,986.52,991.46,983.92,991.46,128966880
2020-01-30,VNINDEX,975.15,977.72,954.0,959.58,181385230
2020-01-31,VNINDEX,959.58,960.96,936.62,936.62,210630210
2020-02-03,VNINDEX,916.6,930.37,891.85,928.14,246408370
2020-02-04,VNINDEX,929.42,934.91,919.33,929.09,178000400
2020-02-05,VNINDEX,934.75,936.33,921.89,925.91,163682070
2020-02-06,VNINDEX,926.66,938.54,925.21,938.54,206129040
2020-02-07,VNINDEX,938.61,943.48,935.94,940.75,165020480
2020-02-10,VNINDEX,934.38,935.87,926.61,930.73,129573270
2020-02-11,VNINDEX,930.73,936.04,930.73,934.67,159265510
2020-02-12,VNINDEX,940.72,943.11,937.34,937.68,187439280
2020-02-13,VNINDEX,937.19,939.1,934.47,938.24,153479610
2020-02-14,VNINDEX,939.28,940.65,936.47,937.45,172195600
2020-02-17,VNINDEX,938.52,938.52,931.66,934.77,149349950
2020-02-18,VNINDEX,934.47,934.98,926.01,927.93,164327840
2020-02-19,VNINDEX,926.41,931.66,925.86,928.76,161003900
2020-02-20,VNINDEX,933.69,938.13,930.41,938.13,183636850
2020-02-21,VNINDEX,938.13,940.53,932.32,933.09,179503790
2020-02-24,VNINDEX,917.49,917.49,903.34,903.34,255965410
2020-02-25,VNINDEX,893.95,909.67,893.95,909.67,186008510
2020-02-26,VNINDEX,901.51,903.27,894.25,895.97,131173700
2020-02-27,VNINDEX,892.15,899.34,889.14,898.44,135468580
2020-02-28,VNINDEX,885.47,887.07,872.46,882.19,184315860
2020-03-02,VNINDEX,878.43,886.45,877.31,884.43,173927240
2020-03-03,VNINDEX,895.39,896.39,890.06,890.61,176373200
2020-03-04,VNINDEX,887.85,889.85,882.83,889.37,195439390
2020-03-05,VNINDEX,892.71,898.43,891.2,893.31,209158850
2020-03-06,VNINDEX,888.96,891.44,882.71,891.44,175600680
2020-03-09,VNINDEX,875.8,875.8,834.67,835.49,273180820
2020-03-10,VNINDEX,813.83,843.28,806.63,837.5,242825240
2020-03-11,VNINDEX,843.52,844.94,794.54,811.35,278303370
2020-03-12,VNINDEX,778.06,778.06,762.12,769.25,311344630
2020-03-13,VNINDEX,735.6,764.69,723.42,761.78,289011560
2020-03-16,VNINDEX,758.28,758.59,737.58,747.86,222784370
2020-03-17,VNINDEX,724.07,750.03,721.84,745.78,202420360
2020-03-18,VNINDEX,747.4,752.65,742.12,747.66,205460100
2020-03-19,VNINDEX,732.35,733.43,714.02,725.94,308921920
2020-03-20,VNINDEX,728.55,729.35,709.73,709.73,197474500
2020-03-23,VNINDEX,694.77,694.77,664.23,666.59,223310850
2020-03-24,VNINDEX,666.59,666.59,652.27,659.21,212661260
2020-03-25,VNINDEX,669.76,690.25,667.58,690.25,209923920
2020-03-26,VNINDEX,689.0,700.76,680.1,694.21,171216480
2020-03-27,VNINDEX,692.54,703.22,682.52,696.06,212339560
2020-03-30,VNINDEX,663.91,665.56,657.36,662.26,194282800
2020-03-31,VNINDEX,669.74,678.64,649.1,662.53,227893260
2020-04-01,VNINDEX,658.8,684.96,657.41,680.23,203313080
2020-04-03,VNINDEX,687.92,701.8,687.92,701.8,197918250
2020-04-06,VNINDEX,716.22,736.75,715.39,736.75,304964360
2020-04-07,VNINDEX,744.97,749.13,730.28,746.69,276556810
2020-04-08,VNINDEX,740.03,748.36,730.12,748.02,203416250
2020-04-09,VNINDEX,751.08,765.87,751.08,760.33,271131720
2020-04-10,VNINDEX,759.08,764.36,751.59,757.94,295263430
2020-04-13,VNINDEX,762.99,774.62,762.53,765.79,200195470
2020-04-14,VNINDEX,769.01,769.53,753.85,767.41,229143390
2020-04-15,VNINDEX,768.05,779.52,768.01,777.22,255468260
2020-04-16,VNINDEX,773.11,781.06,770.91,780.7,217009350
2020-04-17,VNINDEX,786.96,790.95,783.74,789.6,268469130
2020-04-20,VNINDEX,796.17,797.49,786.73,794.97,304592700
2020-04-21,VNINDEX,794.97,794.97,761.96,766.84,368523950
2020-04-22,VNINDEX,752.8,774.94,749.97,768.92,223471930
2020-04-23,VNINDEX,774.23,785.6,768.92,773.91,189376840
2020-04-24,VNINDEX,777.28,778.3,767.31,776.66,226072090
2020-04-27,VNINDEX,774.63,785.74,770.77,770.77,256843490
2020-04-28,VNINDEX,773.31,776.13,763.66,767.21,197231630
2020-04-29,VNINDEX,768.59,772.62,768.19,769.11,210867100
2020-05-04,VNINDEX,766.14,769.73,761.64,762.47,253967720
2020-05-05,VNINDEX,763.22,767.03,760.04,764.16,168997250
2020-05-06,VNINDEX,767.3,782.59,765.37,782.59,209914330
2020-05-07,VNINDEX,785.08,796.54,785.08,796.54,214433830
2020-05-08,VNINDEX,800.32,825.72,800.2,813.73,340156270
2020-05-11,VNINDEX,818.26,828.33,812.48,828.33,268927930
2020-05-12,VNINDEX,827.29,835.95,819.66,835.32,290069940
2020-05-13,VNINDEX,835.32,839.59,815.13,834.21,338667310
2020-05-14,VNINDEX,830.97,836.19,826.17,832.4,273950180
2020-05-15,VNINDEX,835.42,838.47,824.59,827.03,258289700
2020-05-18,VNINDEX,827.49,837.61,823.08,837.01,224260950
2020-05-19,VNINDEX,852.14,854.25,844.15,845.92,293801450
2020-05-20,VNINDEX,845.99,852.91,842.21,852.91,235672860
2020-05-21,VNINDEX,854.93,862.73,854.04,862.73,301190730
2020-05-22,VNINDEX,859.29,860.65,852.08,852.74,265002610
2020-05-25,VNINDEX,852.9,860.45,849.12,859.04,259643410
2020-05-26,VNINDEX,861.47,869.65,860.22,869.13,306464080
2020-05-27,VNINDEX,869.13,875.35,857.48,857.48,354487370
2020-05-28,VNINDEX,858.97,866.17,856.48,861.39,261439230
2020-05-29,VNINDEX,861.59,866.95,859.26,864.47,281746500
2020-06-01,VNINDEX,868.97,878.67,868.97,878.67,418333970
2020-06-02,VNINDEX,879.23,882.73,874.53,874.8,442308030
2020-06-03,VNINDEX,876.73,881.17,874.01,881.17,320477690
2020-06-04,VNINDEX,885.13,888.32,883.22,883.9,394395400
2020-06-05,VNINDEX,883.4,886.59,878.5,886.22,451411820
2020-06-08,VNINDEX,888.7,905.65,888.7,899.92,495328980
2020-06-09,VNINDEX,902.26,904.89,898.87,899.43,441465130
2020-06-10,VNINDEX,898.78,902.69,890.3,900.0,504626710
2020-06-11,VNINDEX,900.48,903.7,867.37,867.37,654053870
2020-06-12,VNINDEX,841.85,863.52,841.44,863.52,572679010
2020-06-15,VNINDEX,867.52,868.16,832.47,832.47,459678640
2020-06-16,VNINDEX,848.86,858.7,844.67,856.13,353019210
2020-06-17,VNINDEX,861.05,861.05,852.27,854.44,303643220
2020-06-18,VNINDEX,850.92,858.03,847.49,855.27,229136470
2020-06-19,VNINDEX,857.77,868.56,857.77,868.56,367478040
2020-06-22,VNINDEX,871.56,872.94,867.37,871.28,324563290
2020-06-23,VNINDEX,871.7,873.2,864.02,868.2,394462580
2020-06-24,VNINDEX,868.2,873.13,857.58,859.71,334410870
2020-06-25,VNINDEX,851.09,856.23,849.65,854.59,278753260
2020-06-26,VNINDEX,857.29,857.43,850.66,851.98,252034180
2020-06-29,VNINDEX,846.26,846.53,826.0,829.36,328226980
2020-06-30,VNINDEX,836.72,840.31,821.92,825.11,304132700
2020-07-01,VNINDEX,827.67,844.26,826.38,843.49,247253260
2020-07-02,VNINDEX,845.66,845.66,838.48,842.38,187693160
2020-07-03,VNINDEX,845.26,848.16,843.25,847.61,169175010
2020-07-06,VNINDEX,851.47,861.85,850.04,861.16,187498750
2020-07-07,VNINDEX,865.46,870.63,863.42,863.42,278262510
2020-07-08,VNINDEX,861.75,865.58,859.98,864.5,179303820
2020-07-09,VNINDEX,867.66,878.36,867.45,876.46,254182330
2020-07-10,VNINDEX,873.7,878.53,867.59,871.21,247699010
2020-07-13,VNINDEX,874.85,876.83,866.99,868.72,198111450
2020-07-14,VNINDEX,865.01,868.11,860.28,868.11,198600790
2020-07-15,VNINDEX,872.8,876.69,869.91,869.91,218679640
2020-07-16,VNINDEX,871.81,876.83,869.25,876.83,215558200
2020-07-17,VNINDEX,873.48,875.07,871.89,872.02,234247910
2020-07-20,VNINDEX,870.66,871.64,861.4,861.4,250555310
2020-07-21,VNINDEX,863.94,864.7,856.94,861.69,210821910
2020-07-22,VNINDEX,862.8,864.0,854.97,855.08,202616770
2020-07-23,VNINDEX,854.92,857.22,851.97,856.75,214187240
2020-07-24,VNINDEX,854.23,854.57,816.65,829.16,426554030
